term_type,term,first_date,source_scope,notes
Company,OpenAI,2026-02-11,2/11-2/10,头部平台公司
Company,Anthropic,2026-02-11,2/11,头部平台公司
Company,Google,2026-02-11,2/11-2/10,含Gemini/Stitch/Chrome线
Company,ByteDance,2026-02-11,2/11-2/09,含豆包与Seedream线
Company,xAI,2026-02-09,2/09,图像API发布
Company,Meta,2026-02-09,2/09,Avocado测试线索
Company,Ant Group,2026-02-11,2/11,LLaDA2.1
Company,Tencent,2026-02-11,2/11,混元与CodeBuddy线
Company,Runway,2026-02-11,2/11,E轮融资
Company,Nebius,2026-02-11,2/11,收购Tavily
Company,Tavily,2026-02-11,2/11,agentic search
Company,Entire,2026-02-11,2/11,初创+融资
Company,Warp,2026-02-11,2/11,Oz平台
Company,OpenRouter,2026-02-10,2/10,Aurora Alpha
Company,Hugging Face,2026-02-10,2/10-2/09,Transformers相关
Company,Obsidian,2026-02-11,2/11,CLI发布
Company,ModelScope,2026-02-10,2/10,OpenAPI
Company,draw.io,2026-02-11,2/11,MCP server
Company,Unsloth,2026-02-11,2/11,MoE优化
Company,Zhipu AI,2026-02-10,2/10,GLM-5传闻
Company,MOSI.AI,2026-02-11,2/11,MOSS-TTS
Community,OpenMOSS,2026-02-11,2/11,MOSS-TTS
Company,Cursor,2026-02-10,2/10,Composer 1.5
Product,Qwen-Image-2.0,2026-02-11,2/11,图像生成与编辑统一模型
Product,Qwen 3.5,2026-02-09,2/09,待发布系列
Model,Qwen3.5-9B-Instruct,2026-02-09,2/09,PR中出现
Model,Qwen3.5-35B-A3B-Instruct,2026-02-09,2/09,PR中出现
Model,Grok Imagine Image Pro,2026-02-09,2/09,xAI图像模型
Model,Grok Imagine Image,2026-02-09,2/09,xAI图像模型标准版
Product,WorkBuddy,2026-02-09,2/09,AI桌面工作台
Model,Seedream 5.0-Preview,2026-02-09,2/09,字节预览版
Model,Avocado,2026-02-09,2/09,Meta测试代号
Model,Avocado Thinking,2026-02-09,2/09,Meta测试代号
Model,Sierra,2026-02-09,2/09,Meta browser agent代号
Concept,Big Brain,2026-02-09,2/09,Meta多agent并行概念
Model,LLaDA2.1,2026-02-11,2/11,扩散大语言模型
Model,LLaDA2.1-Mini,2026-02-11,2/11,16B版本
Model,LLaDA2.1-Flash,2026-02-11,2/11,100B版本
Model,HY-1.8B-2Bit,2026-02-11,2/11,端侧量化模型
Model,Hunyuan-1.8B-Instruct,2026-02-11,2/11,HY基座模型
Model,GPT-5.3-Codex,2026-02-11,2/11-2/10,编程模型
Model,GPT-5.2,2026-02-11,2/11-2/10,路由/升级目标
Product,Responses API,2026-02-11,2/11,OpenAI API能力更新
Product,Claude Code Desktop,2026-02-11,2/11,YOLO模式
Flag,--dangerously-skip-permissions,2026-02-11,2/11,Claude Code参数
Platform,Oz,2026-02-11,2/11,Warp云原生Agent平台
Product,Claude Opus 4.6,2026-02-11,2/11,Antigravity可用
Project,gemini-skills,2026-02-11,2/11,Gemini技能库
Product,Claude Cowork,2026-02-11,2/11,Windows版
Product,Claude App voice mode,2026-02-11,2/11,语音模式分阶段开放
Product,ChatGPT Deep Research,2026-02-11,2/11,升级到GPT-5.2
Product,Google Stitch Figma Export,2026-02-11,2/11,Figma导出
Product,Obsidian CLI,2026-02-11,2/11,Early Access
Campaign,豆包过年,2026-02-11,2/11,春晚联名活动
Standard,WebMCP,2026-02-11,2/11,Chrome 146预览
Model,MOSS-TTS,2026-02-11,2/11,语音模型家族
Model,MossTTSDelay,2026-02-11,2/11,8B长上下文
Model,MossTTSLocal,2026-02-11,2/11,1.7B轻量
Model,MOSS-TTSD v1.0,2026-02-11,2/11,多说话人对话
Model,MOSS-VoiceGenerator,2026-02-11,2/11,音色生成
Model,MOSS-TTS-Realtime,2026-02-11,2/11,实时语音体
Model,MOSS-SoundEffect,2026-02-11,2/11,可控音效
Model,MOSS-Audio-Tokenizer,2026-02-11,2/11,统一音频tokenizer
Metric,WER,2026-02-11,2/11,识别错误率指标
Metric,SIM,2026-02-11,2/11,相似度指标
Metric,ACC,2026-02-11,2/11,准确率指标
Product,ChatGPT Ads Test,2026-02-10,2/10,广告商业化测试
Model,Aurora Alpha,2026-02-10,2/10,OpenRouter stealth模型
Model,Composer 1.5,2026-02-10,2/10,Cursor编程模型
Product,CatPaw,2026-02-10,2/10,美团AI编程工具
Framework,Transformers.js v4,2026-02-10,2/10,WebGPU Runtime预览
Product,Sora Extensions,2026-02-10,2/10,视频续写
Model,GLM-5,2026-02-10,2/10,智谱新模型传闻
Technique,DSA,2026-02-10,2/10,稀疏注意力机制
Technique,MTP,2026-02-10,2/10,多标记预测
Technique,Gated DeltaNet,2026-02-09,2/09,Qwen3.5架构机制
Technique,Hybrid Attention,2026-02-09,2/09,Qwen3.5架构机制
Person,Sam Altman,2026-02-11,2/11-2/10,OpenAI核心人物
Person,Dario Amodei,2026-02-11,2/11,Anthropic联合创始人
Person,Daniela Amodei,2026-02-11,2/11,Anthropic联合创始人
Person,Thomas Dohmke,2026-02-11,2/11,Entire创始人
Person,Cristobal Valenzuela,2026-02-11,2/11,Runway联合创始人
Person,Alejandro Matamala,2026-02-11,2/11,Runway联合创始人
Person,Anastasis Germanidis,2026-02-11,2/11,Runway联合创始人
Person,Elon Musk,2026-02-09,2/09,xAI关联人物
Person,Mark Zuckerberg,2026-02-09,2/09,Meta核心人物
